uid,name
اینچبرمجذورثانیه,اینچ(\u200c|\s*)بر(\u200c|\s*)مجذور(\u200c|\s*)ثانیه
گال(Gal),گال
گال(Gal),Gal
میلیگال(mGal),میلی(\u200c|\s*)گال
میلیگال(mGal),mGal
میکروگال(μGal),میکرو(\u200c|\s*)گال
میکروگال(μGal),μGal
ناتبرثانیه(knot/s),نات(\u200c|\s*)بر(\u200c|\s*)ثانیه
ناتبرثانیه(knot/s),knot/s
کیلومتربرساعتبرثانیه,کیلو(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)ساعتبرثانیه
